
['2020-05-31 13:31:30.304931', 'User says:', 'initialHappinessScore (!!) = 8', 'Chatbot says:', 'S', 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'Yesï¿½ happy to listen to the explanation of how this bot works', 'Chatbot says:', "I'm actually a very simple little bot. So please feel free to talk to meï¿½         and sorry in advance if I don't always do a good job of understanding you. Instead think of this as being more like writing a journalï¿½ but as you keep writingï¿½         I'll be here to encourage you to keep talking.", 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'OKï¿½ I will talk with you even though you are a simple bot.', 'Chatbot says:', "Now let's talk about confidentiality and anonymity.         We offer an anonymised service. We don't have any way         of tracking you downï¿½ knowing who you areï¿½ or linking what you write to you.", 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'OKï¿½ I understand that you do not know who I am.', 'Chatbot says:', "So given that I can't track you downï¿½ and also because I'm a very simple botï¿½         if you told me about an emergency/crisis situationï¿½ I wouldn't         be able to help.", 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'OKï¿½ I know you cannot provide emergency services.', 'Chatbot says:', "Next I'm going to give you the choice whether you want to use this on a confidential         or anonymous basis. When I say anonymousï¿½ I mean that our boffins may see your text to help         us improve the way this software worksï¿½ but we still won't know who you are.", 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'OKï¿½ I know what you mean by anonymous.', 'Chatbot says:', "And when I say confidentialï¿½ I mean that your text won't be         stored at allï¿½ and no human will see what you write.", 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'OKï¿½ I know what you mean by confidential.', 'Chatbot says:', 'Would you like this service to be anonymous or confidential?', 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'Confidential (no human ever sees my words)', 'Chatbot says:', "Thanks! One last thing: You remember saying how you felt on a scale from 1 to 10         at the start? I'd like to ask you the same thing at the end so I know if we're helping.", 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'Yesï¿½ I am happy to let you see how I feel at the end too', 'Chatbot says:', "When you're finished using the botï¿½ please click the stop button on the right             or just type 'stop'; this will take you to the super-quick final survey. Don't press it nowï¿½ but             can you press this button instead of closing/exiting this window?", 'originalJavascriptClient']
['2020-05-31 13:31:30.304931', 'User says:', 'Yesï¿½ when I am finished I will click the stop button', 'Chatbot says:', "OKï¿½ now we've got the intro stuff out the way... you were saying before that         you were feeling 8 out of 10. Seems like you're feeling OKï¿½ but I'm still available for you             to chat with if you want. Maybe just start by talking about something that's on your mind?", 'originalJavascriptClient']
